"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"ENSG00000101161.7",0.352306845590675,6.73127090656802,7.49657779583469,2.21664580857805e-13,7.33867281783711e-13,18.4348186131592,"NOT"
"ENSG00000279103.1",0.824476252966512,-2.36464977836382,7.37782291546671,5.06548604874295e-13,1.64366386321704e-12,18.426499895436,"NOT"
"ENSG00000270325.1",-1.10075820827854,-5.19851202850183,-7.37877703647508,5.03217603136476e-13,1.63340314594456e-12,18.4253834789023,"NOT"
"ENSG00000253967.1",-1.7600719233576,-4.497044824026,-7.37625944957235,5.12053907366043e-13,1.66115621563646e-12,18.4173838578437,"NOT"
"ENSG00000181074.3",1.31622710906677,-2.82150215732091,7.376567643715,5.10964049479074e-13,1.65780589493965e-12,18.4171191728347,"NOT"
"ENSG00000224239.1",-1.3206134529134,-4.51274372392395,-7.37580989653461,5.13647752113162e-13,1.66614059064422e-12,18.4154950139826,"NOT"
"ENSG00000136842.13",-0.737379964088949,3.02567009974801,-7.46002437898747,2.86198527633679e-13,9.41720016389019e-13,18.4105456416148,"NOT"
"ENSG00000279107.1",1.17740940354025,-4.8685717583594,7.37974838301806,4.99848610196044e-13,1.62283063880763e-12,18.4062746221849,"NOT"
"ENSG00000168491.9",0.843055359433066,1.3805325437516,7.4084275041841,4.0979254476548e-13,1.33703109395437e-12,18.4061755212013,"NOT"
"ENSG00000165300.7",2.42844344574173,0.495511670595724,7.38522102281144,4.81278210134904e-13,1.56481461287841e-12,18.4033551543713,"NOT"
"ENSG00000092439.13",-0.475140402482328,5.4161139423244,-7.48692459804755,2.37161664943461e-13,7.84100390133724e-13,18.3982785478448,"NOT"
"ENSG00000125743.10",0.49445790098907,6.32767683917771,7.48660348619356,2.37695100376741e-13,7.85774520322881e-13,18.3849480049728,"NOT"
"ENSG00000222043.2",-0.900932461896239,-5.76801053563619,-7.37477431909815,5.17337888126757e-13,1.67773544166247e-12,18.3837652804878,"NOT"
"ENSG00000157869.14",-0.313221507734944,3.51405975724734,-7.45948832999325,2.87270820984119e-13,9.4514119010021e-13,18.3822165646898,"NOT"
"ENSG00000231943.7",-1.66522453963458,-3.46105374875637,-7.37359664277818,5.21566086107761e-13,1.6906919420681e-12,18.3800721588376,"NOT"
"ENSG00000150625.16",-1.40477150488162,2.02550161114477,-7.44144364650503,3.25767982198601e-13,1.0680465021252e-12,18.3761272506349,"NOT"
"ENSG00000278158.1",-0.921514417876008,-5.88603737808783,-7.37292984794037,5.23975132031512e-13,1.69831135758957e-12,18.3686821624214,"NOT"
"ENSG00000186603.5",-0.924191920831892,-2.36605790192816,-7.37409452007752,5.19774429214352e-13,1.68507235652257e-12,18.3640803390329,"NOT"
