"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"ENSG00000161992.5",-8.73297566170935,-4.55036420920709,-58.1928841279995,2.05519038260631e-256,5.96519008551482e-252,576.593695218525,"DOWN"
"ENSG00000167580.7",-14.0336359637985,-1.36233358344161,-55.3224512163552,8.86457330065152e-245,1.28647120025705e-240,550.21570881277,"DOWN"
"ENSG00000150201.14",-11.0523940335575,-3.00414945382028,-53.8072551106317,1.78229215668416e-238,1.72436766159193e-234,535.724088711447,"DOWN"
"ENSG00000169347.16",-8.13227004648404,-4.4156339239233,-51.3642704198496,4.53847872136438e-228,3.29323362219003e-224,511.55629872724,"DOWN"
"ENSG00000008196.12",-8.74469746902905,-2.85593202340578,-51.2212803796975,1.885528463542e-227,1.09454927308613e-223,510.339680896687,"DOWN"
"ENSG00000165125.17",-6.27061131339765,-1.81027048673417,-51.0243929401601,1.34532291450646e-226,6.50799959892501e-223,508.301884731514,"DOWN"
"ENSG00000169344.15",-13.8801538699215,-0.529667438065619,-50.6979681920199,3.53278540504095e-225,1.46484423401877e-221,505.189966810906,"DOWN"
"ENSG00000075673.11",-8.25565777934584,-4.13775268593106,-48.6012254322734,6.27572613342724e-216,2.27691188778407e-212,483.734546775675,"DOWN"
"ENSG00000154975.13",-8.16724417545064,-3.62678931171094,-48.0507692556817,1.83840619457675e-213,5.92885997751003e-210,478.133463775215,"DOWN"
"ENSG00000162399.6",-9.69222509446747,-3.45767285523625,-47.4301561222622,1.16146120131154e-210,3.37114113680675e-207,471.790800245285,"DOWN"
"ENSG00000139144.9",-8.30592469083091,-3.77359549918358,-47.3109320181959,4.03063500047908e-210,1.06353800808096e-206,470.453279271323,"DOWN"
"ENSG00000113889.11",-11.3794514475502,-0.812917874158561,-47.0744353516012,4.78104770314666e-209,1.1564159131986e-205,468.119083075217,"DOWN"
"ENSG00000151704.15",-8.5794711368125,0.715442193150126,-46.9193624283362,2.42931288695911e-208,5.4239081956914e-205,466.515519491036,"DOWN"
"ENSG00000180251.4",-9.06429450071085,-3.33029624809776,-46.7463346015124,1.49523468551448e-207,3.09994191050413e-204,464.62291468021,"DOWN"
"ENSG00000156284.5",-10.3522608065454,-2.8517328273782,-46.4132662708108,4.99416049496919e-206,9.66370055776538e-203,461.164726901556,"DOWN"
"ENSG00000119715.14",-6.24987546108735,-0.888775141457933,-46.3965800310712,5.95604077399838e-206,1.08046302165814e-202,460.96460889255,"DOWN"
"ENSG00000197308.8",-7.22686794122118,-4.32212721379627,-46.3793942701015,7.14099129065959e-206,1.21921924830232e-202,460.54614591632,"DOWN"
"ENSG00000169550.12",-9.48484976911057,-3.21263450825866,-46.2304776071958,3.44544055585619e-205,5.55577289631811e-202,459.214469495876,"DOWN"
"ENSG00000198398.2",-8.05152206857563,-4.94499650908394,-45.8183717011969,2.72234526619089e-203,4.15874059743109e-200,454.630986506466,"DOWN"
"ENSG00000014257.15",-5.53763736914534,-0.056267730031374,-45.6366531458318,1.88215102245226e-202,2.73147167133384e-199,452.943882879837,"DOWN"
"ENSG00000113905.4",-8.84273949173676,-3.0522328374719,-45.4769295179858,1.03324991976703e-201,1.42809899624943e-198,451.212717066822,"DOWN"
"ENSG00000130829.17",-8.36300496680746,-1.34493723548782,-45.3852361854817,2.75034864151158e-201,3.62858496908516e-198,450.266721016339,"DOWN"
"ENSG00000214128.10",-9.92029617793312,-0.776656873926836,-45.2881043609219,7.76757908988063e-201,9.80234709059936e-198,449.244696397798,"DOWN"
"ENSG00000177133.10",-7.56436159430825,-0.881800786045156,-45.2602999601626,1.04580654371421e-200,1.26477228880437e-197,448.937346359215,"DOWN"
"ENSG00000171004.17",-7.29988889735964,-1.72675367253822,-45.1232227449134,4.5379353563603e-200,5.26854294873431e-197,447.439048872965,"DOWN"
"ENSG00000113073.14",-7.70849370843413,-2.86546811960973,-44.784798224619,1.71749348904649e-198,1.91731725075287e-195,443.788732050615,"DOWN"
"ENSG00000074803.17",-10.5317588193398,1.01864634169765,-44.5921350885193,1.36785991276119e-197,1.47044940621827e-194,441.795461726255,"DOWN"
"ENSG00000253301.5",-7.73664929419741,-4.24385243852041,-43.8329160524802,5.09095098924803e-194,5.27731615939014e-191,433.415780433841,"DOWN"
"ENSG00000170561.12",-5.65900477865565,-0.794058291890931,-43.7393022973674,1.41011603251232e-193,1.41133164978173e-190,432.520061884125,"DOWN"
"ENSG00000166828.2",-8.90267837998333,-0.790666583974446,-43.6176499572343,5.30817174863147e-193,5.13565616680095e-190,431.231364842486,"DOWN"
"ENSG00000197565.15",-5.94718082947353,-1.21380652195751,-43.30071005801,1.69265698940749e-191,1.58481835863072e-188,427.729483765153,"DOWN"
"ENSG00000184908.17",-8.31827603411071,0.884170631565311,-43.2858412281132,1.99179124015867e-191,1.80661689830017e-188,427.62163205625,"DOWN"
"ENSG00000186510.11",-8.09938461278825,0.195612072405541,-43.1830106604836,6.14256492641044e-191,5.40266506027463e-188,426.493932355821,"DOWN"
"ENSG00000135374.9",-8.08674277433679,-3.28923127616097,-42.9969961694792,4.72689347231821e-190,4.03523773629518e-187,424.381420489873,"DOWN"
"ENSG00000183844.16",-5.74277331990377,-0.876455177977585,-42.8375371844131,2.72761209038855e-189,2.26196974067222e-186,422.668496055666,"DOWN"
"ENSG00000173253.14",-8.55298756867985,-2.68529224677408,-42.7815576508436,5.05055667689643e-189,4.07201132074775e-186,422.062100471657,"DOWN"
"ENSG00000184672.11",-7.97531264665982,-3.87620753625313,-42.7714823755017,5.64303275187063e-189,4.42673042224446e-186,421.876174182761,"DOWN"
"ENSG00000168907.13",-8.59231718272142,-2.53360402206406,-42.3788878357302,4.29475962312908e-187,3.28040521214004e-184,417.630063558384,"DOWN"
"ENSG00000086159.12",-8.45255832637635,-1.64974686844257,-42.3234884868548,7.92689405154083e-187,5.89943845758904e-184,417.027301981915,"DOWN"
"ENSG00000159263.15",-4.5704747069014,0.618049034340405,-42.2576142647685,1.64365407049206e-186,1.1926764849008e-183,416.306289407236,"DOWN"
"ENSG00000140519.12",-9.31644163165595,-1.39011400030234,-42.1217908201117,7.40560886826561e-186,5.24262920491242e-183,414.801904271361,"DOWN"
"ENSG00000168269.8",-9.45873840868042,-3.09017289507069,-41.9858431967282,3.34897435631906e-185,2.3143804926705e-182,413.285804213734,"DOWN"
"ENSG00000167741.10",-7.78713058890937,-0.903807999242473,-41.9085065594039,7.90987289215306e-185,5.33916420220331e-182,412.436378252004,"DOWN"
"ENSG00000170549.3",-5.76563828914965,-1.45312979574329,-41.8586201851099,1.37756895206915e-184,9.08725882586523e-182,411.834909234411,"DOWN"
"ENSG00000215644.9",-8.40807301193904,-3.38824378094409,-41.6036386407474,2.35908755861451e-183,1.52161147530636e-180,409.016056225027,"DOWN"
"ENSG00000257588.1",-5.56944750520426,-5.50810383272601,-41.5766266877839,3.18887472646631e-183,2.01211062903662e-180,408.272841686198,"DOWN"
"ENSG00000185818.7",-6.10585358838566,-0.293750207072663,-41.3375881311283,4.60980079709994e-182,2.84679719437927e-179,406.077070807892,"DOWN"
"ENSG00000151834.15",-8.22163322543567,-3.45330029477337,-41.2879131567119,8.03786791782805e-182,4.86039825656165e-179,405.476206791589,"DOWN"
"ENSG00000105929.15",-9.19150847957526,-0.78655360342177,-41.0925232745288,7.180929243218e-181,4.25360145478372e-178,403.33932454683,"DOWN"
"ENSG00000177807.6",-6.69951116080839,0.207134690110237,-41.0906672641095,7.33203404924867e-181,4.25624576558885e-178,403.31995001603,"DOWN"
"ENSG00000267259.1",-7.48008922637047,-4.49680602457775,-41.027283607133,1.4934378333729e-180,8.49941825757814e-178,402.451414277189,"DOWN"
"ENSG00000104332.11",-6.57025293966248,2.65608236226319,-40.743535177722,3.6305427764851e-179,2.02647123245154e-176,399.408100182619,"DOWN"
"ENSG00000153292.15",-8.07234654740147,-0.5694545354044,-40.7386729148649,3.83491670202674e-179,2.10015957125144e-176,399.366778621277,"DOWN"
"ENSG00000113946.3",-6.69952845470275,-0.289192129395322,-40.3643230360104,2.6227386048132e-177,1.4097220000871e-174,395.146520004398,"DOWN"
"ENSG00000248713.1",-7.25868490723479,-4.54876110418552,-40.3007238230546,5.38586946565812e-177,2.84227020437686e-174,394.260906928489,"DOWN"
"ENSG00000123572.16",-6.63789452526737,-0.928972986120479,-40.2279164508577,1.22819753458075e-176,6.36579168592971e-174,393.598621384178,"DOWN"
"ENSG00000196767.6",-6.6109667088666,-5.04614933395193,-40.0139911504451,1.38943089772277e-175,7.07512838708834e-173,390.924667110839,"DOWN"
"ENSG00000278898.1",-7.05089593075872,-4.06975726281196,-39.891335655818,5.59773292005798e-175,2.80127927594281e-172,389.664653385701,"DOWN"
"ENSG00000151418.11",-8.45980402272513,-4.19675926455502,-39.6223867796056,1.19619580280123e-173,5.8846751146281e-171,386.68708276797,"DOWN"
"ENSG00000116039.11",-6.84556721447468,0.640120717056145,-39.5859085265386,1.81326878483126e-173,8.77168774662122e-171,386.315902413491,"DOWN"
"ENSG00000184012.11",-7.22034919233954,0.32953649229659,-39.5390609789931,3.09442742658833e-173,1.47238944355289e-170,385.783038601764,"DOWN"
"ENSG00000176532.3",-4.61867417660758,0.136682784818366,-39.5289434296749,3.47316656208841e-173,1.62594612039703e-170,385.6641054293,"DOWN"
"ENSG00000132677.12",-8.01891336308551,-2.99064322525527,-39.3129745989744,4.09659407461231e-172,1.88735941294639e-169,383.187869007885,"DOWN"
"ENSG00000165973.17",-8.45826475524215,-3.12702038270648,-39.278839076945,6.0539588316101e-172,2.72574630414283e-169,382.797910591049,"DOWN"
"ENSG00000102678.6",-7.66744388240478,-2.11170235421729,-39.2781173038157,6.10416915656449e-172,2.72574630414283e-169,382.796188906223,"DOWN"
"ENSG00000274173.1",-7.16727865936381,-2.10694881054836,-39.1270175321959,3.4448938597158e-171,1.51497036785229e-168,381.061469890526,"DOWN"
"ENSG00000273335.1",-5.98530110235331,-4.05706067520489,-39.1157111347705,3.92157834831668e-171,1.69886285910286e-168,380.754893490197,"DOWN"
"ENSG00000160951.3",-6.70455707209927,-3.08168989350723,-39.0648594009247,7.02574712829568e-171,2.99885750586444e-168,380.302737183423,"DOWN"
"ENSG00000004939.13",-8.30871979030055,-0.122944565372676,-39.0575022269998,7.64435963630462e-171,3.21561649918466e-168,380.28070319703,"DOWN"
"ENSG00000131910.4",-7.96137477696004,-3.84641928382773,-39.0494375070689,8.38527907783282e-171,3.47689607477282e-168,380.143884023168,"DOWN"
"ENSG00000188175.9",-8.1542804045341,-3.10353098665742,-38.94842940046,2.67304018760711e-170,1.09274635838445e-167,379.014166365423,"DOWN"
"ENSG00000147606.8",-6.25601941666059,0.385596334204628,-38.9304499237536,3.28611661421107e-170,1.32471576010384e-167,378.82399361911,"DOWN"
"ENSG00000263429.3",-6.45064519782715,-4.15629248245252,-38.8774689176896,6.0400305680797e-170,2.40153270189744e-167,378.054339986245,"DOWN"
"ENSG00000197099.8",-5.78413128058208,-4.24398107400668,-38.8439700129201,8.87693347889497e-170,3.48179721925576e-167,377.624356284932,"DOWN"
"ENSG00000204511.2",-7.43219632835611,-2.69104682680786,-38.7053530423531,4.37376718855117e-169,1.6926479019693e-166,376.222627558578,"DOWN"
"ENSG00000168447.10",-6.2586334572395,0.57099589795482,-38.6487779635863,8.39113077026793e-169,3.20463908693456e-166,375.58654521356,"DOWN"
"ENSG00000165694.9",-6.7196828368966,-4.57456460613212,-38.5621644083727,2.27693537034529e-168,8.58286352263274e-166,374.436447263982,"DOWN"
"ENSG00000137843.11",-7.01091593431465,-3.02651979464589,-38.2323346426831,1.02767516044149e-166,3.82413737587361e-164,370.747689437415,"DOWN"
"ENSG00000185133.13",-5.02398264923131,1.10114857325999,-38.140187585579,2.98608568875475e-166,1.0971030014697e-163,369.716899016323,"DOWN"
"ENSG00000128045.6",-5.38097025191342,0.054149764240147,-38.1382690392124,3.05317696803659e-166,1.10773076871577e-163,369.700619221042,"DOWN"
"ENSG00000155066.15",-5.79841516130484,1.88652671560735,-38.0794843788088,6.03273054806539e-166,2.1617284463901e-163,369.000734549567,"DOWN"
"ENSG00000277268.1",-7.54146550399121,-3.07851182516728,-37.9792868598358,1.92774331706636e-165,6.82350607046963e-163,367.839866703899,"DOWN"
"ENSG00000135373.12",-6.79991770994778,-0.83429917093165,-37.9653430048623,2.26622736626867e-165,7.83062491737477e-163,367.698655526692,"DOWN"
"ENSG00000188488.13",-6.90667706202959,1.85797425114933,-37.9658791834584,2.25217341756703e-165,7.83062491737477e-163,367.683378860496,"DOWN"
"ENSG00000249341.1",-6.88891847421721,-4.66954987685916,-37.7169726957999,4.05854643603947e-164,1.38587423889465e-161,364.679860609569,"DOWN"
"ENSG00000114113.6",-5.06946526975389,-5.46887214914438,-37.6856690815663,5.84155190780559e-164,1.97152376888439e-161,364.11138056973,"DOWN"
"ENSG00000049283.17",-6.6797213122845,-1.74474459234839,-37.5668440691624,2.32989631675649e-163,7.77301616021345e-161,363.065769872175,"DOWN"
"ENSG00000281769.1",-7.63140138848582,-4.22582576410414,-37.5580398312829,2.5815579494942e-163,8.51474085046239e-161,362.917428425273,"DOWN"
"ENSG00000249601.2",-7.9553389359043,-3.54873365969891,-37.5399923634692,3.18570816159765e-163,1.03893459989182e-160,362.744225328589,"DOWN"
"ENSG00000114854.7",-4.64945727014588,-1.71452566252599,-37.4767960552008,6.65464456748539e-163,2.14612287301404e-160,361.968923661442,"DOWN"
"ENSG00000164188.8",-5.84104617421771,-0.505280553665382,-37.3561143669152,2.720326361984e-162,8.67664534687753e-160,360.618287791882,"DOWN"
"ENSG00000260057.5",-5.3409284452457,-5.50994222507984,-37.3210495520587,4.09670575263736e-162,1.29246613554673e-159,359.900149683961,"DOWN"
"ENSG00000152154.10",-3.783905297225,1.07860386298098,-37.2103741448255,1.49307601366912e-161,4.65984207491896e-159,358.915666994424,"DOWN"
"ENSG00000126460.10",-3.66176655635199,0.118743763908691,-36.9831471035321,2.13378690621066e-160,6.58863456944303e-158,356.257566507234,"DOWN"
"ENSG00000107165.12",-7.33757516205935,-3.49178242216507,-36.9799679186161,2.21477938586606e-160,6.7667338605013e-158,356.192031291288,"DOWN"
"ENSG00000233154.5",-5.62509457807213,-3.87915201537822,-36.9556207466183,2.94614728229044e-160,8.9074921738e-158,355.802520602402,"DOWN"
"ENSG00000231324.1",-5.76939775639452,-4.59449997626712,-36.8779716591207,7.32282660104086e-160,2.19118600098156e-157,354.84703548975,"DOWN"
"ENSG00000132698.13",-7.1330690665896,-1.26336694033414,-36.7195491422946,4.70307636160122e-159,1.39292644281097e-156,353.174043683762,"DOWN"
"ENSG00000070915.9",-8.21528814569447,-0.0240810012824856,-36.4353695996654,1.33169981111897e-157,3.90430171896243e-155,349.825604458047,"DOWN"
"ENSG00000204323.5",-4.57639101346415,0.975412856225139,-36.4313900383237,1.39562492691903e-157,4.05080135038248e-155,349.77962085262,"DOWN"
"ENSG00000095203.14",-5.28922963919297,-0.353758818174133,-36.4279794357807,1.45284911040578e-157,4.17514311183444e-155,349.748693341939,"DOWN"
"ENSG00000248144.5",-5.93821320131369,-1.32537726460197,-36.1202281375109,5.4870809007902e-156,1.56139728573956e-153,346.119364763723,"DOWN"
"ENSG00000173898.11",-6.28557017513172,2.0746644749165,-36.1075473948193,6.37421259248413e-156,1.79622835433837e-153,345.932794093323,"DOWN"
"ENSG00000137648.16",-6.76667325169589,-1.40329612091906,-36.0645001734844,1.06030284100759e-155,2.95916249617744e-153,345.46500006977,"DOWN"
"ENSG00000228055.2",-5.70633823238173,-4.75351763632245,-36.0565255175007,1.16514949028404e-155,3.22080609099946e-153,345.19841028282,"DOWN"
"ENSG00000036828.13",-7.1232793626254,-0.159666012224632,-35.7677881686501,3.55812005207436e-154,9.74287118032625e-152,341.947616745386,"DOWN"
"ENSG00000083307.10",-6.95789917399472,-1.94706457107831,-35.7202662528095,6.25164530568315e-154,1.69583182240611e-151,341.393433904141,"DOWN"
"ENSG00000273706.4",-7.06696844086564,-2.57357107791782,-35.5266969420052,6.22525954657068e-153,1.67303850314087e-150,339.095837304236,"DOWN"
"ENSG00000179399.13",-5.79689106044585,-2.59928018255967,-35.4350432658964,1.85103138357393e-152,4.92900788148929e-150,337.977417373145,"DOWN"
"ENSG00000143882.9",-3.87940278579469,1.40752895703096,-35.4200045914159,2.21363045111959e-152,5.84096580397691e-150,337.815022074625,"DOWN"
"ENSG00000141639.11",-6.74588735943819,-2.30987644397262,-35.2487946640842,1.6996520364489e-151,4.44436039260624e-149,335.794261776264,"DOWN"
"ENSG00000115112.7",-6.06389720170768,3.09693264160935,-35.1606271496115,4.86166806912317e-151,1.25990996166339e-148,334.675622870658,"DOWN"
"ENSG00000172497.8",-5.7164102478583,-4.39781085111444,-35.0539994928035,1.73488319070362e-150,4.45619332833387e-148,333.358062984458,"DOWN"
"ENSG00000162670.10",-6.23960457372363,-4.72032691611622,-34.8907617503151,1.21933262507805e-149,3.10448503885003e-147,331.420364614284,"DOWN"
"ENSG00000257108.1",-3.27587663180292,0.322524857397442,-34.7650152800836,5.48697041716226e-149,1.38486362050552e-146,330.029981174891,"DOWN"
"ENSG00000107485.15",-3.83173394259619,2.42973916696725,-34.7121768251334,1.03283764615788e-148,2.58432005859764e-146,329.347723321045,"DOWN"
"ENSG00000142611.16",-4.17533097246545,1.17694565532323,-34.5085581574957,1.18531764866135e-147,2.91558006376235e-145,326.941093444711,"DOWN"
"ENSG00000126562.16",-4.74348002625105,2.03250389791762,-34.5089551343137,1.17968667569126e-147,2.91558006376235e-145,326.917239086365,"DOWN"
"ENSG00000101144.12",-6.56250093632134,-2.13311252896499,-34.4820298691124,1.62949168204511e-147,3.97445345137472e-145,326.643726508274,"DOWN"
"ENSG00000243350.1",-4.83133528332425,-5.37222957699585,-34.4348790638984,2.86943994440192e-147,6.94045786552215e-145,325.861816242814,"DOWN"
"ENSG00000196754.10",-4.34250561057286,1.75847941741067,-34.3842124340035,5.27206413389441e-147,1.26464183046517e-144,325.43232584377,"DOWN"
"ENSG00000178568.13",-5.81790142748032,0.168896521847488,-34.2880418073746,1.673994755248e-146,3.98259817795681e-144,324.302762651279,"DOWN"
"ENSG00000148123.14",-6.86576958077459,-2.01028224360076,-34.2750219923081,1.95757336305578e-146,4.61939567989382e-144,324.1630064158,"DOWN"
"ENSG00000127412.6",-5.8208310344909,-4.68203898503611,-34.235301591115,3.15579006090873e-146,7.38683923531256e-144,323.580398173732,"DOWN"
"ENSG00000126500.3",-4.7720709239829,-1.86581288130221,-34.1764062719913,6.40837520323201e-146,1.48802472219047e-143,322.957314422088,"DOWN"
"ENSG00000226887.7",-5.51678177858884,-1.63647307847868,-34.1523353193087,8.56107227975643e-146,1.97210415015818e-143,322.685650575554,"DOWN"
"ENSG00000265460.6",-7.14930857249354,-4.59943526983965,-34.0517759605899,2.87260246732595e-145,6.56514067827841e-143,321.442087250966,"DOWN"
"ENSG00000005001.9",-6.40153521022781,-3.43458955343961,-34.0462782888005,3.06924704604113e-145,6.95975746182374e-143,321.392548583528,"DOWN"
"ENSG00000183378.11",-6.6523311741101,-4.04924726809739,-34.0009715345866,5.29745228692185e-145,1.19192676455742e-142,320.82832155629,"DOWN"
"ENSG00000185290.3",-6.83782232824544,-4.18291806167908,-33.8833335064807,2.18754218109346e-144,4.88410860047983e-142,319.420178052828,"DOWN"
"ENSG00000104327.7",-8.08825175189512,-0.588913215147319,-33.8527057351052,3.16525758566052e-144,7.01309934532799e-142,319.065912332512,"DOWN"
"ENSG00000165685.8",-5.97724344198956,1.33404838352765,-33.8340632711947,3.96363539754783e-144,8.71549374347165e-142,318.814484560085,"DOWN"
"ENSG00000237707.1",-5.13172148370112,-5.11575469829142,-33.8192662664731,4.7384859397875e-144,1.0340943940025e-141,318.518010835183,"DOWN"
"ENSG00000147614.3",-7.22417431838224,0.00172679409283857,-33.5568511932981,1.12845543704156e-142,2.44428500448742e-140,315.490697749033,"DOWN"
"ENSG00000136531.13",-4.81138227563857,-0.735200278281197,-33.5169201873364,1.8292051995694e-142,3.93279117907421e-140,315.035947408776,"DOWN"
"ENSG00000105737.9",-4.82447284049906,-0.223475187838477,-33.4469657457468,4.26518431600695e-142,9.10271873324277e-140,314.185572931164,"DOWN"
"ENSG00000163406.10",-3.39263138154685,1.68135302890403,-33.383322006653,9.2178737199804e-142,1.95291083739001e-139,313.387422854801,"DOWN"
"ENSG00000258548.5",-7.03119187584824,-2.25676261347316,-33.372701178347,1.04833799965337e-141,2.20492829274921e-139,313.293357466532,"DOWN"
"ENSG00000147257.13",-4.41626258305312,2.47658928712357,-33.3313473123356,1.73017092100714e-141,3.61282093397354e-139,312.71838129546,"DOWN"
"ENSG00000170835.13",-4.33287442519404,-0.539648016355879,-33.2731972320315,3.50088183273117e-141,7.25807822821588e-139,312.089711897632,"DOWN"
"ENSG00000143001.4",-6.70265217703964,-2.7328508569892,-33.2542420086987,4.40539648916773e-141,9.06855553887188e-139,311.858989930852,"DOWN"
"ENSG00000118194.18",-5.93731442413191,-2.2539747822949,-33.1049960006967,2.6938419280131e-140,5.50625084229438e-138,310.051904820436,"DOWN"
"ENSG00000239887.4",-3.20597448752238,1.71419942619144,-33.0851425459853,3.42809941131346e-140,6.95808289604008e-138,309.776073572921,"DOWN"
"ENSG00000241186.7",-6.41222415362972,-1.88821809054702,-32.9895656665449,1.09455411087152e-139,2.20621062972541e-137,308.65336540873,"DOWN"
"ENSG00000174514.12",-4.20590962570177,3.71545371251228,-32.9848734139399,1.15877646961559e-139,2.31955082969603e-137,308.478850906194,"DOWN"
"ENSG00000011347.9",-4.42040768683109,0.565161860706406,-32.9494860327334,1.78147474516908e-139,3.54159619715976e-137,308.147470239061,"DOWN"
"ENSG00000110680.12",-7.17594206544094,-4.29553541965975,-32.9211135283632,2.51519954530313e-139,4.96623583689954e-137,307.801698941024,"DOWN"
"ENSG00000060709.13",-4.7106090410508,-1.60217573708244,-32.7747575687251,1.49210429826988e-138,2.92623832819481e-136,306.041615753485,"DOWN"
"ENSG00000233101.10",-4.36068574206173,-1.10593935863448,-32.7528196136193,1.948853503374e-138,3.79634046546513e-136,305.777865342098,"DOWN"
"ENSG00000007402.11",-2.60268302585114,0.724035785871299,-32.7447526842336,2.14996764410313e-138,4.13263648146313e-136,305.67921160152,"NOT"
"ENSG00000088836.12",-4.08130502698464,0.798608825060972,-32.7462994593164,2.10985865727447e-138,4.0825765018261e-136,305.677156064596,"DOWN"
"ENSG00000164007.10",-6.69921732716635,-0.38217152819619,-32.737512097371,2.3481065694379e-138,4.48380218275889e-136,305.569402276585,"DOWN"
"ENSG00000170190.15",-3.28967472662517,2.43556325351587,-32.576591396913,1.66792946814349e-137,3.16416031456633e-135,303.564651496804,"DOWN"
"ENSG00000236417.2",-4.66707573505745,-5.3251090541935,-32.5155428388842,3.51137253864811e-137,6.61802519053646e-135,302.736495222753,"DOWN"
"ENSG00000160111.12",-3.08350057337869,2.80562619514633,-32.5031433601614,4.08470277658665e-137,7.64893536067275e-135,302.658359440685,"DOWN"
"ENSG00000173567.14",-3.63630164810911,-1.31073033355956,-32.4056992135335,1.34143323929094e-136,2.49583972887306e-134,301.541097979202,"DOWN"
"ENSG00000134258.16",-5.98495654456642,-0.487488943470571,-32.3935239066067,1.5563948560073e-136,2.87734781500712e-134,301.390241209635,"DOWN"
"ENSG00000131771.13",-5.95903185314433,-2.85594358284848,-32.3407335616604,2.96532313353545e-136,5.44737366777636e-134,300.75822253862,"DOWN"
"ENSG00000197705.9",-3.94000685711676,0.404735127525753,-32.2753820220459,6.58861329372135e-136,1.20273270975008e-133,299.954834224469,"DOWN"
"ENSG00000277639.1",-4.11384517105224,0.0627711070455171,-32.2301159526154,1.14565490605626e-135,2.07828960301769e-133,299.407823605238,"DOWN"
"ENSG00000007216.14",-6.86526322437549,-1.73767524357045,-31.8692304870796,9.49414089169269e-134,1.71159900236882e-131,294.996845489245,"DOWN"
"ENSG00000142449.12",-6.51589015050419,-3.72138774678045,-31.8250730789585,1.63132494246421e-133,2.92279052191504e-131,294.457173479531,"DOWN"
"ENSG00000250432.5",-4.61768852576985,-4.73025479307149,-31.7708035724751,3.17368423918566e-133,5.65129969585053e-131,293.690902439626,"DOWN"
"ENSG00000183888.4",-5.74574285906783,-4.48060281698481,-31.7485345591665,4.17056442716518e-133,7.38113612795545e-131,293.477518096832,"DOWN"
"ENSG00000102243.12",-6.42121795507055,-4.9749907829333,-31.7471524212422,4.24187989779588e-133,7.46185236566821e-131,293.456973845481,"DOWN"
"ENSG00000198910.12",-5.33823443688478,1.79411420267185,-31.6702271996326,1.09019504220742e-132,1.90619946385966e-130,292.486457629909,"DOWN"
"ENSG00000092054.12",-4.70320530577574,-5.07049795669668,-31.6511035469913,1.37864424526025e-132,2.39611671968136e-130,292.219783645094,"DOWN"
"ENSG00000163827.12",-4.69582627397119,-0.293767640451875,-31.5956208790282,2.72463825413295e-132,4.70729912656006e-130,291.643968088901,"DOWN"
"ENSG00000105289.14",-4.61403356620283,-0.0972004443767411,-31.3986658789751,3.06546475580502e-131,5.26479967675981e-129,289.223281703592,"DOWN"
"ENSG00000104413.15",-6.55886400854945,-0.991349042200198,-31.3962248401424,3.15888469295585e-131,5.39333107135549e-129,289.188770533985,"DOWN"
"ENSG00000154319.14",-3.98351256456267,0.970018146364131,-31.3763415426302,4.0340157018147e-131,6.84721086229074e-129,288.926235145166,"DOWN"
"ENSG00000183783.6",-4.83812215289004,-4.33080285376122,-31.3535196422508,5.34140704471454e-131,9.01362438795579e-129,288.612236259297,"DOWN"
"ENSG00000250781.1",-4.96701678930893,-5.21868762023727,-31.2114841272058,3.06806487206439e-130,5.14743253824677e-128,286.836346587731,"DOWN"
"ENSG00000268416.1",-4.62658619759178,-2.73835164621511,-31.1933015359224,3.83802489902204e-130,6.40222256862728e-128,286.69620443873,"DOWN"
"ENSG00000146411.5",-4.14507236252433,-0.0797005606917876,-31.1572759571246,5.98154965609547e-130,9.9208273581812e-128,286.264628265352,"DOWN"
"ENSG00000179270.6",-4.95168920519234,-5.41275315285188,-31.1137271858903,1.02288156775298e-129,1.686882812729e-127,285.633053304657,"DOWN"
"ENSG00000188883.4",-6.10329901928409,-3.65398081946778,-31.0897635374849,1.37427729153536e-129,2.25358182976349e-127,285.430098873466,"DOWN"
"ENSG00000143502.14",-4.3475578587871,0.95185673493359,-31.0758579671389,1.63118770057641e-129,2.65984398928261e-127,285.224806056352,"DOWN"
"ENSG00000160963.13",-5.7752855844685,-2.75090597934662,-31.0225305179677,3.14777557934115e-129,5.10414447990933e-127,284.614641635551,"DOWN"
"ENSG00000150556.16",-5.78753989058924,-2.2163767400001,-30.9205188358523,1.10771725731117e-128,1.78619407741426e-126,283.362787032318,"DOWN"
"ENSG00000127324.8",-5.691969550442,0.0601838361341325,-30.8752584387376,1.93635339050985e-128,3.10511918008554e-126,282.762197034099,"DOWN"
"ENSG00000183036.10",-6.61045923892526,-2.13961833501129,-30.8235959720345,3.66385398916124e-128,5.84304187007719e-126,282.163145778586,"DOWN"
"ENSG00000277011.1",-6.39322864629218,-2.90098152103102,-30.8125987022154,4.19666916496577e-128,6.65619248705637e-126,282.033509479969,"DOWN"
"ENSG00000136828.18",-2.47938494980642,2.45111632378315,-30.7608563823224,7.95060530028174e-128,1.25416477630803e-125,281.313530322773,"NOT"
"ENSG00000261104.1",-5.5882088828182,-4.97232636339831,-30.7371575835591,1.06543924100883e-127,1.67158778217737e-125,281.044466489236,"DOWN"
"ENSG00000276668.1",-5.0468516159282,-5.12468142175624,-30.7247302549781,1.24222696693705e-127,1.93847514598645e-125,280.863359419346,"DOWN"
"ENSG00000115616.2",-6.17552659589088,-1.53106036685533,-30.6717417827932,2.39079680261172e-127,3.71084904790401e-125,280.286893029899,"DOWN"
